"county","members"
"Pike","25608"
"Venango","21603"
"Susquehanna","16022"
"Lancaster","15266"
"Bradford","14153"
"Huntingdon","13626"
"Monroe","13506"
"York","13452"
"Centre","13286"
"Wayne","13041"
"Berks","12902"
"Luzerne","11979"
"Chester","11958"
"Butler","11811"
"Lycoming","11629"
"Tioga","11313"
"Armstrong","10679"
"Elk","10604"
"Bedford","10552"
"Somerset","10316"
"Clearfield","10309"
"Washington","9960"
"Crawford","9187"
"Westmoreland","9028"
"Warren","8864"
"Potter","8434"
"Adams","8190"
"Greene","8151"
"Bucks","7648"
"Cambria","7587"
"McKean","7224"
"Mercer","6725"
"Cumberland","6631"
"Perry","6190"
"Wyoming","5991"
"Clinton","5335"
"Erie","5311"
"Columbia","5236"
"Northampton","5152"
"Sullivan","5112"
"Dauphin","4894"
"Fulton","4816"
"Franklin","4814"
"Montour","4456"
"Mifflin","4201"
"Lehigh","4149"
"Lebanon","4014"
"Union","3891"
"Carbon","3878"
"Juniata","3820"
"Snyder","3277"
"Lawrence","3089"
"Beaver","3004"
"Blair","2945"
"Cameron","2749"
"Northumberland","2540"
"Montgomery","2139"
"Allegheny","2008"
"Lackawanna","1126"
"Schuylkill","428"
"Forest","362"
"Clarion","325"
"Indiana","133"
"Jefferson","77"
"Fayette","57"
"Delaware","3"
"Philadelphia","0"