"county","pctInadequate"
"Crawford","0.08"
"Monroe","0.01"
"Pike","0.03"
"Erie","0.00"
"Snyder","0.01"
"Clarion","0.06"
"Cameron","0.07"
"Lycoming","0.02"
"Venango","0.05"
"Fulton","0.02"
"Carbon","0.08"
"Bedford","0.08"
"Washington","0.02"
"Wayne","0.00"
"Lackawanna","0.03"
"Bradford","0.04"
"Luzerne","0.02"
"Berks","0.01"
"Cumberland","0.00"
"Butler","0.01"
"Tioga","0.09"
"Dauphin","0.00"
"Indiana","0.07"
"Clearfield","0.07"
"Northumberland","0.06"
"Clinton","0.06"
"Huntingdon","0.02"
"Elk","0.00"
"Northampton","0.00"
"York","0.00"
"Westmoreland","0.00"
"Columbia","0.05"
"Union","0.00"
"Franklin","0.00"
"Juniata","0.00"
"Sullivan","0.07"
"Adams","0.00"
"Armstrong","0.05"
"Lancaster","0.00"
"Cambria","0.16"
"Perry","0.00"
"Allegheny","0.01"
"Chester","0.00"
"Lehigh","0.00"
"Wyoming","0.00"
"Susquehanna","0.01"
"Greene","0.00"
"Mifflin","0.10"
"Lawrence","0.05"
"Montgomery","0.00"
"Delaware","0.03"
"Somerset","0.09"
"Forest","0.00"
"Philadelphia","0.11"
"Bucks","0.00"
"Potter","0.03"
"Blair","0.03"
"Montour","0.00"
"Fayette","0.09"
"McKean","0.06"
"Schuylkill","0.00"
"Mercer","0.06"
"Centre","0.02"
"Beaver","0.01"
"Lebanon","0.00"
"Warren","0.09"
"Jefferson","0.00"